"ID odgovora","Datum prosleđivanja","Poslednja strana","Početni jezik","Datum početka","Datum poslednje akcije","IP adresa","Molimo vas da označite svoj pol. []","Molimo Vas da označite svoju ulogu u današnjoj poseti veb-sajta Odseka. []","Koliko često posećujete veb-sajt Odseka za psihologiju? []","Koliko vremena provedete na veb-sajtu Odseka prilikom tipične posete? []","Kakav je vaš opšti utisak vezan za korišćenje veb-sajta Odseka za psihologiju? []","{if(is_empty(hidden), rand(1, 100), hidden)}","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Opšti izgled i dizajn veb-sajta je atraktivan []","Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Opšti izgled i dizajn veb-sajta je atraktivan. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Ukupno vreme","Vreme grupe: Molim Vas odgovorite na sledeća pitanja","Vreme pitanja: DemografskePol","Vreme pitanja: Demografske","Vreme pitanja: zaAnalytics1","Vreme pitanja: vreme","Vreme pitanja: zaAnalzticsMozda","Vreme pitanja: hidden","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b","Vreme pitanja: b2","Vreme pitanja: b3","Vreme pitanja: b4","Vreme pitanja: b5","Vreme pitanja: b6","Vreme pitanja: b7","Vreme pitanja: b8","Vreme pitanja: b9","Vreme pitanja: b10","Vreme pitanja: b11","Vreme pitanja: b12","Vreme pitanja: b13","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b2","Vreme pitanja: b11","Vreme pitanja: b4","Vreme pitanja: b","Vreme pitanja: b5","Vreme pitanja: b9","Vreme pitanja: b13","Vreme pitanja: b7","Vreme pitanja: b3","Vreme pitanja: b8","Vreme pitanja: b10","Vreme pitanja: b6","Vreme pitanja: b12","Vreme grupe: Molim Vas napišite Vaš odgovor na sledeća pitanja.","Vreme pitanja: textboxPrvi","Vreme pitanja: textboxDrugi","Vreme pitanja: textboxTreci","Vreme pitanja: textboxPrvimali","Vreme pitanja: textboxDrugimali","Vreme pitanja: textboxTrecimali"
"17","2019-07-30 13:35:42","38","sr-Latn","2019-07-30 13:33:55","2019-07-30 13:35:42","178.223.250.242","Muški","Drugo","Nekoliko puta mesečno","Manje od 5 minuta","Uglavnom pozitivan","92","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Nedolučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","","","","","","","117.3","","4.44","8.9","4.72","7.04","3.9","","","","","","","","","","","","","","","","","9.34","3.82","3.82","2.87","3.59","6.55","5.99","9.24","15.05","2.72","3.91","3.33","8.24","","4.1","3.5","2.23","","",""
"18","","","sr-Latn","2019-07-30 14:30:56","2019-07-30 14:30:56","178.221.0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","6","sr-Latn","2019-07-30 15:01:45","2019-07-30 15:07:01","109.92.79.90","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320.83","","17.87","17.45","15.26","22.91","222.7","","","24.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","2019-07-30 15:20:02","38","sr-Latn","2019-07-30 15:06:53","2019-07-30 15:20:02","80.144.19.74","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","32","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","uglavnom se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","Ne","/
","/","801.48","","10.56","4.66","9.09","5.01","5.48","","","483.36","5.28","3.11","2.92","3.88","3.98","8.36","12.6","4.86","4.28","4.16","2.31","31.39","","","","","","","","","","","","","","","","","","","9.51","179.11","7.57"
"21","2019-07-30 17:03:01","38","sr-Latn","2019-07-30 17:00:46","2019-07-30 17:03:01","109.93.191.40","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Neutralan","38","Neodlučan/na sam","Uglavnom se ne slažem","Uglavnom se slažem","Uglavanom se ne slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Uopšte se ne slažem","","","","","","","","","","","","","","","","","","","","143.69","","3.03","3.98","9.83","8","10.03","","","10.8","13.37","5.58","5.47","6.85","4.46","8.3","3.82","5.83","6.37","5.69","4.06","5.8","","","","","","","","","","","","","","","","","","","5.14","7","10.28"
"22","2019-07-30 18:38:02","38","sr-Latn","2019-07-30 18:32:51","2019-07-30 18:38:02","109.245.34.190","Ženski","Student Odseka","Nekoliko puta u semestru","Manje od 5 minuta","Neutralan","6","Uopšte se ne slažem","Neodlučan/na sam","Uglavnom se ne slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Uopšte se ne slažem","Ugalvnom se ne slažem","Uopšte se ne slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Uopšte se ne slažem","","","","","","","","","","","","","","","","","Na sajtu se u ponudi izbornih predmeta uvek nalaze predmeti koji zapravo nisu u ponudi za slusanje. ","Pracenje sopstvenih poena za predmete (uz pomoc JMBG-a ili pristupne sifre). 
Raspored ispitnih rokova (koji bude na sajtu filozofskog).
I azurirati informacije.","Azuriranje. Mozda uvodjenje chat opcije, kako ne bismo zbog jednog pitanja dolazili do saltera. ","321.48","","2.98","3.68","5.73","17.35","10.02","","","9.54","7.35","6.99","9.12","6.84","5.93","6.08","5.86","4.55","6.35","5.33","6.34","5.65","","","","","","","","","","","","","","","","","","","52.48","99.59","43.72"
"23","2019-07-31 11:21:31","38","sr-Latn","2019-07-31 11:18:10","2019-07-31 11:21:31","87.116.183.249","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","96","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Nedolučan/na sam","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","Po mom mišljenju, sajt bi trebao da obuhvati i informacije vezane za razmenu studenata.","","","","","210.63","","2.99","4.86","5.88","7.93","5.42","","","","","","","","","","","","","","","","","36.72","4.84","3.81","5.24","4.28","10.21","4.77","32.88","5.02","4.09","6.05","2.93","3.74","","6.25","47.69","5.03","","",""
"24","2019-07-31 11:34:26","38","sr-Latn","2019-07-31 11:31:25","2019-07-31 11:34:26","62.4.55.99","Ženski","Student Odseka","Nekoliko puta u semestru","Između 5 i 15 minuta","Uglavnom negativan","44","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Ugalvnom se ne slažem","Uopšte se ne slažem","Uopšte se ne slažem","Uglavnom se ne slažem","Uopšte se ne slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","Za sada ne","Informacija o svakom smeru, aktuelnih","Više informacija","190.7","","4.85","21.26","5.88","6.27","0.86","","","16.64","5.23","7.39","3.96","5.14","5.27","5.45","4.17","3.66","3.28","5.09","3.03","5.92","","","","","","","","","","","","","","","","","","","37.33","15.68","24.34"
"25","2019-07-31 12:23:58","38","sr-Latn","2019-07-31 12:20:56","2019-07-31 12:23:58","2.85.125.170","Ženski","Nastavnik Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","81","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uopšte se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Potpuno se slažem","uglavnom se slažem","","Potpunije i studentima pristupačnije biografije nastavnog osoblja","","","","","191.73","","7.01","6.57","7.89","7.76","10.03","","","","","","","","","","","","","","","","","12.31","4.76","5.27","4.83","6.64","4.03","6.38","6.03","4.11","6.7","5.23","18.21","7.33","","5.14","50.93","4.57","","",""
"26","","25","sr-Latn","2019-07-31 15:18:37","2019-07-31 15:19:54","78.30.176.199","Ženski","Budući student Odseka","Ovo mi je prvi put","Duže od 30 minuta","Veoma negativan","86","","","","","","","","","","","","","","Uopšte se ne slažem","Uopšte se ne slažem","Uopšte se ne slažem","Uglavnom se ne slažem","Uopšte se ne slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","83.74","","4.24","6.72","8.4","7.38","6.19","","","","","","","","","","","","","","","","","18.37","6.46","3.17","5.7","10.45","6.66","","","","","","","","","","","","","",""
"27","","3","sr-Latn","2019-07-31 20:06:10","2019-07-31 20:07:37","93.202.113.49","Ženski","Student Odseka","Nekoliko puta mesečno","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.05","","5.75","19.28","34.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","2019-08-01 08:07:58","38","sr-Latn","2019-08-01 08:06:17","2019-08-01 08:07:58","188.2.10.91","Ženski","Student Odseka","Nekoliko puta u semestru","Manje od 5 minuta","Veoma pozitivan","51","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","","","","","","110.48","","3.06","5.07","7.49","11.66","6.01","","","","","","","","","","","","","","","","","9.86","4.63","3.56","2.55","2.85","4.31","4.74","1.29","3.51","4.05","15.2","4.22","1.82","","4.31","6.32","3.97","","",""
